account_id,loan_start_date,product,product_description,loan_total_term,loan_initial_balance,loan_base_rate,loan_margin_rate,loan_spread_rate,loan_total_rate,accrued_interest,number_of_holiday_repayments,number_of_capital_repayments,loan_maturity_date,repayment_number,repayment_date,principal_installment,interest_installment,tax_installment,charge_amount,total_installment
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,1,2020-09-25,0.00,1943.16,0.00,0.00,1943.16
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,2,2020-10-25,0.00,1943.15,0.00,0.00,1943.15
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,3,2020-11-25,0.00,1943.16,0.00,0.00,1943.16
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,4,2020-12-25,0.00,1943.16,0.00,0.00,1943.16
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,5,2021-01-25,0.00,1943.15,0.00,0.00,1943.15
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,6,2021-02-25,0.00,1943.16,0.00,0.00,1943.16
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,7,2021-03-25,0.00,1943.15,0.00,0.00,1943.15
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,8,2021-04-25,0.00,1943.16,0.00,0.00,1943.16
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,9,2021-05-25,0.00,1943.16,0.00,0.00,1943.16
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,10,2021-06-25,0.00,1943.15,0.00,0.00,1943.15
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,11,2021-07-25,0.00,1943.16,0.00,0.00,1943.16
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,12,2021-08-25,0.00,1943.16,0.00,0.00,1943.16
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,13,2021-09-25,0.00,1943.15,0.00,0.00,1943.15
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,14,2021-10-25,0.00,1943.16,0.00,0.00,1943.16
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,15,2021-11-25,0.00,1943.15,0.00,0.00,1943.15
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,16,2021-12-25,0.00,1961.76,0.00,0.00,1961.76
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,17,2022-01-25,0.00,2005.18,0.00,0.00,2005.18
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,18,2022-02-25,0.00,2078.52,0.00,0.00,2078.52
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,19,2022-03-25,0.00,2138.06,0.00,0.00,2138.06
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,20,2022-04-25,0.00,2211.89,0.00,0.00,2211.89
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,21,2022-05-25,0.00,2280.80,0.00,0.00,2280.80
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,22,2022-06-25,0.00,2345.26,0.00,0.00,2345.26
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,23,2022-07-25,0.00,2418.61,0.00,0.00,2418.61
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,24,2022-08-25,0.00,2433.18,0.00,0.00,2433.18
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,25,2022-09-25,1094.50,2384.06,0.00,0.00,3478.56
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,26,2022-10-25,1060.83,2546.09,0.00,0.00,3606.92
260841110197747,2020-08-25,COMMG,CM Owner Occupied,240,490000.00,2.25,4.20,0.40,6.85,1867.14,24,216,2040-08-25,27,2022-11-25,1066.88,2540.04,0.00,0.00,3606.92
